"Color Name";"Color Number";"Hex";"RGB"
"Scuba Blue";"841";"#0064AC";"rgb(0, 100, 172)"
"Intense Blue";"869";"#0073B9";"rgb(0, 115, 185)"
"Ocean Blue";"809";"#0087BD";"rgb(0, 135, 189)"
"Bright Blue";"877";"#0099CE";"rgb(0, 153, 206)"
"Light Blue";"832";"#56B0D8";"rgb(86, 176, 216)"
"Blue";"833";"#00537A";"rgb(0, 83, 122)"
"Turquoise";"831";"#009294";"rgb(0, 146, 148)"
"Teal";"842";"#00A296";"rgb(0, 162, 150)"
"Mint";"829";"#75D5BC";"rgb(117, 213, 188)"
"Kelly Green";"834";"#00763E";"rgb(0, 118, 62)"
"Green";"854";"#00824B";"rgb(0, 130, 75)"
"Cactus Green";"812";"#009053";"rgb(0, 144, 83)"
"Bright Green";"879";"#009033";"rgb(0, 144, 51)"
"Leaf Green";"878";"#0D5611";"rgb(13, 86, 17)"
"Forest Green";"811";"#004D29";"rgb(0, 77, 41)"
"Grass Green";"813";"#3EA200";"rgb(62, 162, 0)"
"Lime";"814";"#82C830";"rgb(130, 200, 48)"
"White";"800";"#F7F8F4";"rgb(247, 248, 244)"
"White Matt";"830";"#FAFAF7";"rgb(250, 250, 247)"
"Light Grey";"859";"#C8C8C6";"rgb(200, 200, 198)"
"Mist";"845";"#CAC9C9";"rgb(202, 201, 201)"
"Cool Grey";"886";"#8C8F92";"rgb(140, 143, 146)"
"Dove Grey";"844";"#939690";"rgb(147, 150, 144)"
"Medium Grey";"825";"#79858C";"rgb(121, 133, 140)"
"Cloud Grey";"885";"#6E716D";"rgb(110, 113, 109)"
"Grey";"820";"#5D6263";"rgb(93, 98, 99)"
"Dark Grey";"881";"#4D4E4D";"rgb(77, 78, 77)"
"Black";"801";"#131213";"rgb(19, 18, 19)"
"Black Matt";"821";"#3B3B3A";"rgb(59, 59, 58)"
"Grey Metallic";"846";"#424446";"rgb(66, 68, 70)"
"Silver Metallic";"835";"#959697";"rgb(149, 150, 151)"
"Gold Metallic";"836";"#9F8C55";"rgb(159, 140, 85)"
"Ivory";"857";"#EBD8C0";"rgb(235, 216, 192)"
"Cream";"861";"#F3DF9F";"rgb(243, 223, 159)"
"Beige";"819";"#E7CB9C";"rgb(231, 203, 156)"
"Dark Beige";"884";"#AB865C";"rgb(171, 134, 92)"
"Tan";"827";"#B2834C";"rgb(178, 131, 76)"
"Hazelnut Brown";"883";"#AF5520";"rgb(175, 85, 32)"
"Chestnut Brown";"882";"#62231C";"rgb(98, 35, 28)"
"Dark Burgundy";"863";"#5D131C";"rgb(93, 19, 28)"
"Chocolate Brown";"818";"#513324";"rgb(81, 51, 36)"
"Brown";"880";"#402921";"rgb(64, 41, 33)"
"Primrose Yellow";"951";"#FACB00";"rgb(250, 203, 0)"
"Bright Yellow";"928";"#F9C100";"rgb(249, 193, 0)"
"Sunflower Yellow";"927";"#FFB600";"rgb(255, 182, 0)"
"Light Yellow";"936";"#FFB700";"rgb(255, 183, 0)"
"Buttercup Yellow";"902";"#FEB200";"rgb(254, 178, 0)"
"Chrome Yellow";"904";"#E99500";"rgb(233, 149, 0)"
"Morning Orange";"937";"#F2972B";"rgb(242, 151, 43)"
"Sweet Orange";"938";"#F37B24";"rgb(243, 123, 36)"
"Light Orange";"911";"#E66800";"rgb(230, 104, 0)"
"Dark Orange";"910";"#E55700";"rgb(229, 87, 0)"
"Sunrise";"926";"#DE3E0D";"rgb(222, 62, 13)"
"Spanish Orange";"980";"#C54000";"rgb(197, 64, 0)"
"Medium Red";"906";"#CC220B";"rgb(204, 34, 11)"
